"SucursalID", "Nombre", "CodigoBarra", "Categoria", "FechaCaducidad", "Marca", "Precio", "Stock"
1, "Leche", "7501000012345", "Lacteos", "2025-03-15", "Lala", 25.50, 12
1, "Pan", "7501000012346", "Panaderia", "2025-02-20", "Bimbo", 18.00, 8
1, "Jabon", "7501000012348", "Limpieza", "2026-05-01", "Ariel", 15.60, 5
1, "Cafe", "7501000012349", "Bebidas", "2025-07-30", "Nescafe", 45.00, 3
2, "Arroz", "7501000012347", "Granos", "2026-01-10", "Mahatma", 22.30, 15
2, "Azucar", "7501000012350", "Dulces", "2026-03-22", "Zulka", 19.80, 10
2, "Aceite", "7501000012351", "Abarrotes", "2025-11-11", "Capullo", 32.40, 7
2, "Galletas", "7501000012352", "Dulces", "2025-04-18", "Emperador", 12.50, 20
3, "Yogurt", "7501000012353", "Lacteos", "2025-02-28", "Alpura", 14.20, 9
3, "Refresco", "7501000012354", "Bebidas", "2025-08-14", "CocaCola", 21.00, 14
3, "Frijoles", "7501000012355", "Granos", "2026-02-17", "La Sierra", 28.90, 6
4, "Shampoo", "7501000012356", "Higiene", "2026-06-30", "Head&Shoulders", 62.50, 4
4, "Papel", "7501000012357", "Limpieza", "2025-09-01", "Regio", 38.00, 11
4, "Atun", "7501000012358", "Enlatados", "2025-10-20", "Tuny", 27.30, 18
4, "Mayonesa", "7501000012359", "Abarrotes", "2025-12-05", "McCormick", 34.90, 5
5, "Cereal", "7501000012360", "Desayuno", "2025-05-12", "Kellogg's", 49.50, 7
5, "Pasta", "7501000012361", "Abarrotes", "2026-01-25", "Barilla", 16.40, 13
5, "Detergente", "7501000012362", "Limpieza", "2026-04-14", "Foca", 42.00, 3
5, "Queso", "7501000012363", "Lacteos", "2025-02-10", "Lala", 68.00, 2
5, "Sopa", "7501000012364", "Instantaneos", "2025-09-22", "Maruchan", 13.80, 9
6, "Chocolate", "7501000012365", "Dulces", "2025-06-18", "Hershey's", 23.00, 16
6, "Cloro", "7501000012366", "Limpieza", "2026-05-19", "Cloralex", 19.50, 5
6, "Mermelada", "7501000012367", "Dulces", "2025-10-10", "McCormick", 38.20, 4
7, "Jugo", "7501000012368", "Bebidas", "2025-04-25", "Del Valle", 26.80, 11
7, "Mantequilla", "7501000012369", "Lacteos", "2025-03-03", "Lala", 45.60, 6
7, "Harina", "7501000012370", "Abarrotes", "2026-02-28", "Selecta", 21.40, 8
7, "Cepillo", "7501000012371", "Higiene", "2026-07-01", "Oral-B", 35.00, 3
8, "Pilas", "7501000012372", "Electronicos", "2025-12-31", "Energizer", 89.00, 12
8, "Velas", "7501000012373", "Hogar", "2025-11-15", "Yaxa", 15.80, 7
8, "Lentejas", "7501000012374", "Granos", "2026-03-12", "La Sierra", 29.50, 5
8, "Gelatina", "7501000012375", "Postres", "2025-07-24", "Royal", 8.90, 19
9, "Crema", "7501000012376", "Lacteos", "2025-02-21", "Lala", 31.70, 4
